batch_id,PAY_0,BILL_AMT1,PAY_AMT2,AGE,accuracy,avg_confidence,n_samples
0,0.0110098282089382,0.0136833837336592,0.0148744631530823,0.0187162417297848,0.8022222222222222,0.21123984697773635,450
1,0.0084943216095936,0.0195165815566558,0.0335749656817593,0.0060300639348377,0.8555555555555555,0.22446294444435508,450
2,0.0185868236320584,0.0162690950576787,0.0105218340739429,0.00699095404681,0.8022222222222222,0.21972678756494537,450
3,0.0042379651144303,0.0305706084412703,0.0143371690657771,0.0333058492118325,0.7822222222222223,0.2339724244779962,450
4,0.0050776941871656,2.5786153280701387,16.195772836610832,0.0117623918575195,0.8133333333333334,0.23521171015882728,450
5,0.009421392147454,4.277482530400672,13.78343336429601,0.0154761615089227,0.8133333333333334,0.24672913126963938,450
6,0.0115395637416626,6.477836258901881,15.831847623218511,0.0090223639127547,0.78,0.25037083978628283,450
7,0.0223530061675216,6.36894567481445,15.565127196648,0.0136926334752259,0.82,0.29841680004045845,450
8,0.0080656634027056,6.946913755283888,10.011940621019322,0.0229393672836248,0.7888888888888889,0.28924017657699685,450
9,2.96741259271846,6.864243787912122,8.864942641578617,0.0105965345376207,0.8022222222222222,0.322302417966859,450
10,2.7413592759746708,8.533192859036854,4.417704299965636,0.0262593398891368,0.8022222222222222,0.31186547359413186,450
11,2.760162708685076,9.13924216817879,4.50354487591268,0.0407934773597798,0.8066666666666666,0.3365853973073729,450
12,2.6796602279167745,10.88858904742511,0.5424404117329724,0.0519421976825656,0.7977777777777778,0.3459477264392979,450
13,2.93483202175558,10.762744887966214,0.4115725428343192,0.0154524895400113,0.8088888888888889,0.3915583092931591,450
14,2.833843009218145,10.728720350090116,0.6755132853446051,0.0185387487239103,0.7666666666666667,0.3970639664241111,450
15,7.765912400475496,10.749837384664724,0.5718646794393313,0.0282608142031847,0.7688888888888888,0.4138801435954643,450
16,7.893505486712778,11.361745106343506,0.8696641280237533,0.0085604944872051,0.7288888888888889,0.43680183659131505,450
17,7.7285341535015535,11.36452042524528,0.6141526641325514,0.0183296020487938,0.66,0.44848355008421503,450
18,7.839332813890456,13.004922116758069,0.9923967394302556,0.0232375400723107,0.6377777777777778,0.4732213162560419,450
19,7.793980969427716,13.008024782118342,5.085134801023288,0.014821164476791,0.5977777777777777,0.4828183313199685,450
